Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT (mins),Avg CTAT (mins),Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Reason for cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value (INR),Ride Distance (km),Driver Ratings,Customer Rating
19-09-2025,20:07:00,CNR2933228,Cancelled-Driver,CUST270038,Prime Plus,Devanahalli,RT Nagar,,,0,,1,The customer was coughing/sick,0,,,,,
09-09-2025,00:47:00,CNR1485555,Successful,CUST479816,Prime SUV,Yeshwanthpur,Indiranagar,5.5,7.7,0,,0,,0,,505.33,14.15,5,4.7
09-09-2025,08:15:00,CNR0554725,Successful,CUST422216,Bike,Richmond Town,Basavanagudi,2.2,4.5,0,,0,,0,,271.5,6.65,4.7,4.5
13-09-2025,07:08:00,CNR1681621,Failed,CUST494005,Prime Plus,Salarpuria,Srirampura,,,0,,0,,0,,,,,
30-09-2025,21:47:00,CNR2692680,Failed,CUST204480,Prime Sedan,Nayandahalli,Banashankari,,,0,,0,,0,,,,,
03-09-2025,17:05:00,CNR5658936,Cancelled-Customer,CUST533371,Auto,Gandhi Nagar,Whitefield,,,1,Driver is not moving towards pickup location,0,,0,,,,,
19-09-2025,18:27:00,CNR5031655,Cancelled-Driver,CUST634664,eBike,Ulsoor,Devanahalli,,,0,,1,More than permitted people in there,0,,,,,
04-09-2025,01:01:00,CNR6769570,Cancelled-Customer,CUST366316,Mini,New Thippasandra,Shivaji Nagar,,,1,AC is not working,0,,0,,,,,
06-09-2025,22:01:00,CNR7569100,Successful,CUST406733,Bike,Whitefield,Malleswaram,10.9,12.7,0,,0,,0,,711.36,14.49,4.9,3.2
14-09-2025,17:12:00,CNR5494633,Successful,CUST391570,eBike,Chamarajpet,Koramangala 7th Block,6.1,6.1,0,,0,,0,,574.51,13.65,4.6,4.7
16-09-2025,22:34:00,CNR9995259,Successful,CUST498169,Mini,Gandhi Nagar,Gottigere,2.7,4.2,0,,0,,0,,894.37,10.74,5,3.8
08-09-2025,13:14:00,CNR1157796,Cancelled-Driver,CUST722554,Prime Plus,Rajajinagar,Salarpuria,,,0,,1,Personal & Car related issues,0,,,,,
11-09-2025,14:37:00,CNR4902871,Successful,CUST539794,Mini,Electronic City,Hebbal,2.2,4.1,0,,0,,0,,179.47,1.67,4,3.1
04-09-2025,08:51:00,CNR9719440,Failed,CUST396596,Bike,Jayanagar,BTM Layout,,,0,,0,,0,,,,,
10-09-2025,00:48:00,CNR9877801,Failed,CUST483226,Prime Plus,Banaswadi,Shivaji Nagar,,,0,,0,,0,,,,,
29-09-2025,05:44:00,CNR6009017,Successful,CUST898050,Bike,Sanjay Nagar,Sompura,13.1,16.3,0,,0,,0,,469.2,6.33,3.9,4.4
28-09-2025,13:21:00,CNR9577125,Cancelled-Driver,CUST774897,eBike,BTM Layout,Hebbal,,,0,,1,More than permitted people in there,0,,,,,
